source_path,destination_path,sha256,size_bytes,file_type,import_status,notes
reference/4022(c) Allocation Presentation 2020.pdf,reference/training/4022(c) Allocation Presentation 2020.pdf,5d0c0fb652c555847e5241d12dd5a5c04880eb86a293cce194dff2b6f84fcc94,425383,application/pdf,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/4022(c) Amounts.pdf,reference/regulations/4022(c) Amounts.pdf,7154f8e0ce1fcee106007dd65f3c2085d13632264f4ea87267907d70219bbda6,280119,application/pdf,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/Abandoned Sufficient Plans.pdf,reference/regulations/Abandoned Sufficient Plans.pdf,993436b84a7dd4ca234ae92d51236a3af487e2f318d3bf3a67ea0b68570d1008,103761,application/pdf,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/Aggregate Limit on Benefits Payable from PBGC Funds.pdf,reference/regulations/Aggregate Limit on Benefits Payable from PBGC Funds.pdf,b9f9f912d6492446ea4c130e4c70e8662df8b2e9468a5909bcf610982d4654d5,426143,application/pdf,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/Allocation of Assets - Priority Category 3.pdf,reference/regulations/Allocation of Assets - Priority Category 3.pdf,209c4a8e7479d20de9b033e9f68c7cc8196b5a60d14813281c020066ce881ca4,371783,application/pdf,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/Annuity Benefit Forms.pdf,reference/regulations/Annuity Benefit Forms.pdf,76b58dbfbfd170d18a95f6affd9290cbcc81ea4619576b5690158b7d6a026119,380390,application/pdf,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/Annuity Starting Dates.pdf,reference/regulations/Annuity Starting Dates.pdf,8bda43077ec023a7dad86cfa7c83a1e13994fc05679d8df00e48115a6cfac911,275369,application/pdf,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/Asset Allocation Under ERISA 4044 2020.pdf,reference/training/Asset Allocation Under ERISA 4044 2020.pdf,d356e935a363001f01bf123503e959c76bc68fbee299d9ce87e91e6f5d31cfde,1025186,application/pdf,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/Assignment and Alienation of Benefits.pdf,reference/regulations/Assignment and Alienation of Benefits.pdf,8db98ecd8e8a4c3c2a78809d4761361c4ca6873221c448f1c60cfd37b7037cb3,225238,application/pdf,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/BCV ATPBGC (Add-ins).pdf,reference/field-catalogs/atpbgc/BCV ATPBGC (Add-ins).pdf,92d409b29c299bd50dde17502e019a7abdae00a48710890bcc08eb1a521929d5,1752968,application/pdf,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/Beneficiaries.pdf,reference/regulations/Beneficiaries.pdf,39989bf0b1909bb84c04f8742f3bba8d62ea0d155bf6d48812e46eaa3057dcf8,458655,application/pdf,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/Benefit Corrections.pdf,reference/regulations/Benefit Corrections.pdf,c50864a4b400a536a0e07b2c2a5693412e6df24d1ce932ee04fc9d33627de239,270320,application/pdf,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/Benefit Liabilities - Priority Category 6.pdf,reference/regulations/Benefit Liabilities - Priority Category 6.pdf,93f2a40b3c874f1c424426a64923983667b6fdb81082530b1e9d20d88b891655,249884,application/pdf,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/Benefit Limitations Under PPA 2006 - Section 436.pdf,reference/regulations/Benefit Limitations Under PPA 2006 - Section 436.pdf,886c9b5dcc4ae5fe3dcecd1ccc580dc68ec02224961157f615f0853b80f128d9,277398,application/pdf,imported,Imported per approved mapping; source and destination SHA-256 match.
reference/Benefit Payments Prior to Trusteeship.pdf,reference/regulations/Benefit Payments Prior to Trusteeship.pdf,eef4756d1227bc287ce2a8402aed69e94a3e861c3e48f9cecc798b882180df9b,159605,application/pdf,imported,Imported per approved mapping; source and destination SHA-256 match.
