plan_id | identifier
plan_version_scope | plan parameter
plan_year_start_month_day | plan parameter
plan_year_end_month_day | plan parameter
plan_termination_date | case parameter
trusteeship_date | case parameter
benefit_freeze_flag | plan parameter
benefit_freeze_date | plan parameter
accrual_stop_rule | plan parameter
compensation_stop_rule | plan parameter
normal_retirement_age | plan parameter
normal_retirement_date_definition | plan parameter
early_retirement_flag | plan parameter
early_retirement_eligibility_rule | plan parameter
early_retirement_reduction_rule | plan parameter
late_retirement_increase_rule | plan parameter
required_beginning_age | plan parameter
required_beginning_date_rule | plan parameter
participation_eligibility_rule | plan parameter
vesting_schedule_rule | plan parameter
vesting_service_definition | plan parameter
benefit_service_definition | plan parameter
service_crediting_method | plan parameter
break_in_service_rule | plan parameter
rehire_rule | plan parameter
hours_of_service_requirement_flag | plan parameter
hours_of_service_rules | plan parameter
union_or_classification_flag | plan parameter
classification_codes_dictionary | plan parameter
classification_transfer_rules | plan parameter
benefit_formula_count | plan parameter
benefit_formula_1_effective_date | plan parameter
benefit_formula_1_applicability_rule | plan parameter
benefit_formula_1_algebra | plan parameter
benefit_formula_1_accrual_rate_schedule | plan parameter
benefit_formula_1_service_basis | plan parameter
benefit_formula_1_compensation_basis | plan parameter
benefit_formula_2_effective_date | plan parameter
benefit_formula_2_applicability_rule | plan parameter
benefit_formula_2_algebra | plan parameter
benefit_formula_2_accrual_rate_schedule | plan parameter
benefit_formula_2_service_basis | plan parameter
benefit_formula_2_compensation_basis | plan parameter
benefit_formula_3_effective_date | plan parameter
benefit_formula_3_applicability_rule | plan parameter
benefit_formula_3_algebra | plan parameter
benefit_formula_3_accrual_rate_schedule | plan parameter
benefit_formula_3_service_basis | plan parameter
benefit_formula_3_compensation_basis | plan parameter
greater_of_or_minimum_benefit_flag | plan parameter
greater_of_or_minimum_benefit_rule | plan parameter
average_compensation_flag | plan parameter
average_compensation_window_length_months | plan parameter
average_compensation_window_type | plan parameter
average_compensation_consecutive_rule | plan parameter
average_compensation_partial_year_rule | plan parameter
average_compensation_less_than_window_rule | plan parameter
compensation_definition | plan parameter
compensation_inclusions | plan parameter
compensation_exclusions | plan parameter
compensation_period_basis | plan parameter
compensation_cap_401a17_flag | plan parameter
compensation_cap_401a17_application_rule | plan parameter
maximum_benefit_415_flag | plan parameter
maximum_benefit_415_application_rule | plan parameter
top_heavy_flag | plan parameter
top_heavy_application_rule | plan parameter
employee_contributions_flag | plan parameter
employee_contributions_rules | plan parameter
disability_benefit_flag | plan parameter
disability_definition | plan parameter
disability_benefit_formula_rule | plan parameter
temporary_supplement_flag | plan parameter
temporary_supplement_rule | plan parameter
shutdown_or_contingent_event_flag | plan parameter
shutdown_or_contingent_event_rule | plan parameter
window_period_flag | plan parameter
window_period_rules | plan parameter
offsets_flag | plan parameter
offsets_rules | plan parameter
non_level_benefit_flag | plan parameter
non_level_benefit_rules | plan parameter
payment_forms_dictionary | plan parameter
default_payment_form_rule | plan parameter
automatic_survivor_form_rule | plan parameter
form_code_mapping_dictionary | plan parameter
form_requires_survivor_percent_rule | plan parameter
form_requires_months_certain_rule | plan parameter
actuarial_equivalence_interest_basis | plan parameter
actuarial_equivalence_mortality_basis | plan parameter
actuarial_equivalence_method | plan parameter
pbgc_interest_basis_for_valuation | case parameter
pbgc_mortality_basis_for_valuation | case parameter
maximum_guarantee_limit_table | pbgc parameter
phase_in_limit_rules | pbgc parameter
accrued_at_normal_limit_rules | pbgc parameter
aggregate_limit_rules | pbgc parameter
allocation_priority_category_rules | pbgc parameter
de_minimis_lump_sum_threshold | pbgc parameter
lump_sum_permitted_rules | pbgc parameter
recapture_of_payments_review_flag | pbgc parameter
recapture_of_payments_rules | pbgc parameter
qdro_presence_flag | case parameter
qdro_processing_rules | pbgc parameter
data_dictionary_version | system parameter
field_semantics_overrides | system parameter
excel_compatibility_mode | system parameter
indicator_groups_definition | system parameter
required_inputs_matrix_by_cohort | system parameter
